"PA","AT2","RH2","AT6","RH6","SWC5","SWC15","SWC30","ST5","ST15","ST30","NEE","RECO"
84.33123,22.89,9.327630447,25.66,8.621216371,9,10,9,31.2,32.5,30.2,0.1667142181,0.1667142181
84.34618,21.17,10.46911108,23.15,9.92938143,9,10,9,30.6,32.2,30.2,0.6986151336,0.6986151336
84.35924,21.07,11.06063834,22.59,10.68559601,9,10,9,30,31.9,30.2,0.06174295288,0.147018466
84.35794,21.44,14.65115988,22.71,13.50041807,9,9,9,29.5,31.6,30.2,0.3428330788,0.3428330788
84.34962,21.36,16.57642792,22.6,15.12842801,9,9,9,29,31.3,30.2,0.3349332594,0.3349332594
84.34737,21.26,16.57625147,22.67,14.91424465,9,9,9,28.5,31,30.1,0.2448124378,0.2448124378
84.34468,21.46,16.47632229,22.78,14.84527325,9,9,9,28.1,30.7,30.1,0.2344809891,0.2344809891
84.36851,20.33,17.74776112,21.87,16.0774506,9,9,9,27.7,30.5,30.1,-0.7961132562,0.1421346193
84.37842,19.38,18.41768533,21.08,16.7526171,9,9,9,27.3,30.2,30,0.1372225149,0.1372225149
84.39023,19.22,19.47007413,20.97,17.70723176,9,9,9,26.9,30,29.9,0.1364758451,0.1364758451
84.40283,18.94,19.92063033,20.89,17.91049712,9,9,9,26.5,29.7,29.9,0.1359132302,0.1359132302
84.42084,18.68,19.42883351,20.65,17.46594157,9,9,9,26.1,29.5,29.8,-0.4150579168,0.134386266
84.4218,20.62,17.52771205,21.59,16.43945887,9,9,9,25.8,29.2,29.7,-0.3827017692,0.1400154549
84.41418,23.74,15.99881301,24.26,15.05048629,9,9,9,25.6,29,29.7,-0.476871903,0.1565349096
84.40305,25.19,14.36598866,25.45,13.78340588,9,9,9,25.4,28.8,29.5,-0.09001963688,0.1640189928
84.40337,26.26,12.98298621,26.26,12.85418751,9,9,9,25.5,28.7,29.5,-0.0323815741,0.1691370163
84.39864,27.29,11.39893603,27.12,11.64184243,9,9,9,25.8,28.6,29.4,-0.1093059567,0.174620124
84.3746,28.59,9.363209909,28.33,9.964164965,9,9,9,26.4,28.5,29.3,0.1982406818,0.1982406818
84.36583,29.37,8.73165122,29.03,9.423626815,9,9,9,27.3,28.5,29.2,0.1729002686,0.1869690387
84.35916,30.36,7.989747923,29.84,8.841917654,9,9,9,28.5,28.5,29.1,0.3921106897,0.3921106897
84.34359,31.58,7.158513644,30.84,8.128901152,9,9,9,30,28.6,29,0.5191692965,0.5191692965
84.32185,32.08,6.84564626,31.3,7.829432277,9,9,9,31.6,28.8,28.9,0.6266219057,0.6266219057
84.31565,32.84,6.562028261,32.05,7.54883678,9,9,9,33.3,29.1,28.9,0.6813593439,0.6813593439
84.29523,33.37,6.484052223,32.66,7.431246297,10,9,9,35,29.4,28.8,-0.07694404983,0.2108094235
84.27991,33.95,6.284602866,33.3,7.200756705,10,9,9,36.6,29.9,28.7,1.062153103,1.062153103
84.24714,34.65,5.962692591,33.84,6.9346374,10,9,9,38.1,30.5,28.7,1.056420668,1.056420668
84.21719,35.13,5.719950072,34.44,6.662854793,10,9,9,39.5,31.1,28.7,1.955651088,1.955651088
84.18839,35.49,5.538380009,34.96,6.441539588,10,9,9,40.7,31.8,28.7,1.240359147,1.240359147
84.1593,35.71,5.303499532,35.11,6.230561378,10,10,9,41.8,32.5,28.7,0.7236494893,0.7236494893
84.13866,36.47,5.056817497,36,5.935397985,10,10,9,42.9,33.2,28.8,0.9729365373,0.9729365373
84.1132,36.68,4.943426377,36.04,5.848875127,10,10,9,43.7,33.8,28.8,1.506087795,1.506087795
84.10207,36.42,4.944308697,36.16,5.777055898,10,10,9,44.3,34.5,28.9,0.7837479327,0.7837479327
84.0892,36.84,4.758697557,36.38,5.622467753,10,10,9,44.6,35,29,0.8657068792,0.8657068792
84.0655,36.68,4.795786459,36.46,5.597020195,10,10,9,44.8,35.4,29.1,0.6996170159,0.6996170159
84.05816,36.72,4.743578085,36.94,5.440136609,10,10,9,44.7,35.8,29.2,0.2709399499,0.2709399499
84.06435,36.38,4.83180555,36.55,5.533827039,10,10,9,44.2,36.1,29.4,0.1979198039,0.2361933564
84.07396,36.03,4.953163838,36.19,5.639734253,10,10,9,43.5,36.3,29.5,0.3228736127,0.3228736127
84.09193,35.34,5.341472403,35.85,5.86542448,10,10,9,42.6,36.4,29.7,0.3233010502,0.3233010502
84.11719,32.65,6.539819348,33.72,6.808134371,10,10,9,41.6,36.4,29.8,0.3583226898,0.3583226898
84.15717,30.25,8.240592104,31.55,8.238078,10,10,9,40.5,36.3,29.9,0.4179798024,0.4179798024
84.19306,28.83,9.373471828,30.18,9.177137125,10,10,9,39.4,36.1,30,0.1925875842,0.1925875842
84.2146,28.43,9.824688882,29.57,9.660573532,10,10,9,38.4,35.9,30.2,0.4566836188,0.4566836188
84.24926,28,10.22566217,29.16,9.981671285,10,10,9,37.4,35.6,30.3,0.4926532844,0.4926532844
84.2795,27.27,10.72661781,28.6,10.30897102,10,10,9,36.5,35.3,30.4,0.1819817132,0.1819817132
84.31349,25.68,11.75823293,27.48,10.89072612,10,10,10,35.6,34.9,30.5,0.1298013242,0.1746492114
84.33238,24.85,12.34909916,26.44,11.46795396,10,10,9,34.8,34.6,30.6,0.07238951775,0.1679121947
84.35226,24.64,12.45917728,26.03,11.68761374,9,10,9,34,34.3,30.6,0.1652395268,0.1652395268
84.35624,22.71,13.98115114,25.68,11.81793115,9,10,10,33.3,33.9,30.7,0.1629605739,0.1629605739
84.37027,22.99,13.66060883,25.48,11.92979195,9,10,9,32.5,33.5,30.7,-0.08440368737,0.1616380513
84.36862,23.3,13.47048059,25.75,11.82174996,9,10,10,31.9,33.2,30.7,0.02847183621,0.1632846011
84.36186,23.43,13.60105768,25.34,12.24955778,9,9,9,31.2,32.9,30.7,0.1606411348,0.1606411348
84.36942,22.88,14.20205465,24.6,12.80105959,9,10,10,30.7,32.5,30.7,0.1559500825,0.1559500825
84.3751,22.59,14.5626792,24.69,12.8202475,9,9,9,30.1,32.2,30.7,0.156458625,0.156458625
84.35904,22.45,14.75301986,24.65,12.87132704,9,9,9,29.6,31.9,30.7,0.1561570838,0.1561570838
84.35496,22.15,15.1035648,24.87,12.79595537,9,9,9,29.2,31.6,30.7,0.1574797066,0.1574797066
84.35726,23.19,14.18245706,26.07,12.05016283,9,9,10,28.8,31.4,30.6,0.1649787132,0.1649787132
84.37296,24.3,13.18098283,26.43,11.77902891,9,9,9,28.3,31.1,30.5,0.1672106422,0.1672106422
84.38619,23.71,13.5914255,25.84,12.09391937,9,9,9,27.9,30.9,30.5,0.1634236183,0.1634236183
84.40389,24.75,12.66998425,25.93,11.97559915,9,9,9,27.5,30.6,30.4,0.1639434589,0.1639434589
84.43073,24.42,12.93036443,25.7,12.09284826,9,9,9,27.2,30.3,30.3,-0.4199097309,0.1624454243
84.4451,24.78,13.02113277,25.94,12.00599969,9,9,9,26.8,30.1,30.3,-0.414745912,0.1639131464
84.46019,27.26,11.02763422,27.68,11.13805483,9,9,9,26.6,29.9,30.2,-0.3217317588,0.1749511329
84.47855,27.98,10.62704056,29.02,10.37441865,9,9,9,26.5,29.7,30.1,-0.1594313921,0.1835654327
84.49149,29.31,9.715158163,29.63,9.945345251,9,9,9,26.5,29.5,30,-0.5258907298,0.1874940164
84.49331,30.78,8.883444172,30.83,9.312277161,9,9,9,26.8,29.4,29.9,-0.07347546065,0.1953257612
84.48258,31.66,8.492708226,31.43,9.066458578,9,9,9,27.4,29.3,29.8,0.08950826117,0.19924471
84.47812,32.75,8.011708325,32.54,8.583612105,9,9,9,28.2,29.2,29.8,0.8707365132,0.8707365132
84.4771,33.97,7.487517855,33.84,8.098022907,9,9,9,29.4,29.3,29.7,0.6795473127,0.6795473127
84.47031,35.43,6.982436104,34.9,7.725048576,9,9,9,30.9,29.4,29.6,0.8185713852,0.8185713852
84.45551,36.14,6.72781675,35.69,7.446383463,9,9,9,32.5,29.6,29.5,0.9177393666,0.9177393666
84.43394,36.45,6.580378411,35.85,7.375335732,9,9,9,34.2,29.9,29.4,-0.07534065533,0.2287168874
84.41464,36.95,6.362740191,36.22,7.19070652,10,9,9,36,30.3,29.3,0.7020526378,0.7020526378
84.39537,37.44,5.894972543,36.75,6.794012278,10,9,9,37.7,30.8,29.3,0.9956767097,0.9956767097
84.35928,38.05,5.110809695,37.28,5.971256084,10,9,9,39.2,31.4,29.3,0.3611259694,0.3611259694
84.33734,38.43,4.884975067,37.74,5.793146781,10,9,9,40.7,32,29.2,1.027423131,1.027423131
84.32529,38.55,4.800649404,37.74,5.678952834,10,9,9,42,32.7,29.2,1.033515025,1.033515025
84.30619,38.92,5.078075259,38.11,5.937235653,10,10,9,43.2,33.4,29.3,1.150097831,1.150097831
