Date,House,Plot,W,S,Port,Flux,R2,Tchamb.,
2020-07-14 0:02:43,1,2,2,2,1,7.48,0.9838,30.27,
2020-07-14 0:06:13,1,4,1,1,2,0.93,0.971,30.04,
2020-07-14 0:13:16,1,7,2,1,4,0.73,0.9076,29.25,
2020-07-14 0:16:49,1,8,1,4,5,0.54,0.9759,29.22,
2020-07-14 0:23:55,1,10,2,3,7,0.38,0.9513,28.48,
2020-07-14 0:27:27,1,12,2,4,8,0.39,0.9684,28.51,
2020-07-14 1:02:43,1,2,2,2,1,6.20,0.9953,27.71,
2020-07-14 1:06:17,1,4,1,1,2,0.50,0.9529,27.69,
2020-07-14 1:13:19,1,7,2,1,4,0.76,0.9153,26.99,
2020-07-14 1:16:48,1,8,1,4,5,0.72,0.9702,27.23,
2020-07-14 1:20:17,1,9,1,2,6,0.37,0.942,27.19,
2020-07-14 1:23:46,1,10,2,3,7,0.45,0.9628,26.8,
2020-07-14 1:27:15,1,12,2,4,8,0.41,0.9503,26.86,
2020-07-14 2:02:43,1,2,2,2,1,6.18,0.9962,26.74,
2020-07-14 2:06:17,1,4,1,1,2,1.06,0.9842,26.58,
2020-07-14 2:13:18,1,7,2,1,4,0.55,0.9407,26.31,
2020-07-14 2:16:48,1,8,1,4,5,0.61,0.9608,26.32,
2020-07-14 2:20:17,1,9,1,2,6,0.41,0.9575,26.11,
2020-07-14 2:23:46,1,10,2,3,7,1.09,0.9563,26.31,
2020-07-14 2:27:15,1,12,2,4,8,0.43,0.9755,26.42,
2020-07-14 3:02:43,1,2,2,2,1,5.42,0.9823,26.76,
2020-07-14 3:06:16,1,4,1,1,2,0.55,0.9573,27.74,
2020-07-14 3:13:20,1,7,2,1,4,0.41,0.9078,26.91,
2020-07-14 3:16:50,1,8,1,4,5,0.37,0.9483,26.57,
2020-07-14 3:23:55,1,10,2,3,7,0.33,0.9621,25.88,
2020-07-14 3:27:28,1,12,2,4,8,0.65,0.9842,25.57,
2020-07-14 4:02:43,1,2,2,2,1,7.68,0.9982,25.28,
2020-07-14 4:06:15,1,4,1,1,2,0.64,0.9671,25.4,
2020-07-14 4:13:16,1,7,2,1,4,0.77,0.98,25.03,
2020-07-14 4:16:46,1,8,1,4,5,0.52,0.9834,24.91,
2020-07-14 4:20:19,1,9,1,2,6,0.50,0.9389,24.54,
2020-07-14 4:27:21,1,12,2,4,8,0.51,0.9252,24.23,
2020-07-14 5:02:43,1,2,2,2,1,7.86,0.9958,24.71,
2020-07-14 5:06:14,1,4,1,1,2,0.61,0.9669,24.94,
