"","Year","DOY","Port.1Soil.Resp.um.co2.m2.s","Port.1VWC","Port.1Soil.Temp.deg.C","Port.2soil.respum.co2.m2.s","Port.2VWC","Port.2Soil.Temp.deg.C","Port.3soil.respum.co2.m2.s","Port.3VWC","Port.3Soil.Temp.deg.C","Port.4Soil.Resp.um.co2.m2.s","Por4VWC","Port.4Soil.Temp.deg.C","Port.5soil.respum.co2.m2.s","Port.5VWC","Port.5Soil.Temp.deg.C","Port.6soil.respum.co2.m2.s","Port.6VWC","Port.6Soil.Temp.deg.C","Port.7soil.respum.co2.m2.s","Port.7VWC","Port.7Soil.Temp.deg.C","date"
"1",17,1.0176,0.12,0.24968,7.032,0.16,0.23612,7.978,0.18,0.23665,7.614,NA,0.24399,7.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-01-01
"2",17,1.0593,0.12,0.25019,7.329,0.15,0.23612,8.047,0.18,0.23718,7.739,NA,0.24347,7.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-01-01
"3",17,1.1009,0.11,0.24968,7.043,0.12,0.23506,7.905,0.18,0.23559,7.565,NA,0.24295,6.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-01-01
"4",17,1.1426,0.12,0.24814,6.48,0.11,0.23453,7.481,0.19,0.23453,7.164,NA,0.24139,6.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-01-01
"5",17,1.1843,NA,0.24814,6.246,0.12,0.23453,7.19,0.18,0.23453,6.943,NA,0.24139,6.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-01-01
"6",17,1.2259,0.12,0.24814,6.421,0.12,0.234,7.198,0.18,0.234,7.008,NA,0.24086,6.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-01-01
"7",17,1.2676,0.14,0.24762,6.642,0.17,0.234,7.308,0.17,0.23293,7.147,NA,0.24086,6.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-01-01
"8",17,1.3093,0.13,0.24814,6.797,0.16,0.23347,7.399,0.21,0.23347,7.262,0.08,0.24086,6.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-01-01
"9",17,1.3509,0.15,0.24762,6.796,0.14,0.23293,7.384,0.22,0.23293,7.287,0.09,0.24086,6.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-01-01
"10",17,1.3926,0.15,0.24916,7.577,0.15,0.23506,7.781,0.23,0.23293,7.786,NA,0.24191,7.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-01-01
