Date;S1(mm);S2(mm);S3(mm);S4(mm)
2020-07-14;38.0;38.0;38.0;38.0
2020-07-17;9.5;.;.;.
2020-07-20;14.1;24.1;.;.
2020-07-23;6.6;.;.;.
2020-07-27;12.7;19.3;42.8;.
2020-07-30;8.1;.;.;.
2020-08-03;10.4;18.6;.;61.3
2020-08-06;7.0;.;.;.
2020-08-10;8.9;15.9;34.4;.
2020-08-13;9.7;.;.;.
2020-08-17;7.8;17.5;.;.
2020-08-20;4.3;.;.;.
2020-08-24;10.5;14.8;32.4;48.2
2020-08-27;7.0;.;.;.
2020-08-31;6.5;13.5;.;.
2020-09-03;6.5;.;.;.
2020-09-07;8.8;15.3;33.5;.
2020-09-10;7.0;.;.;.
2020-09-14;3.8;10.8;.;57.4
2020-09-17;3.6;.;.;.
2020-09-21;4.8;8.4;23.9;.
2020-09-24;5.0;.;.;.
2020-09-28;4.4;9.4;.;.
2020-10-02;4.0;.;.;.
2020-10-05;4.0;8.0;.;.
2020-10-29;30.0;30.0;30.0;30.0
2020-11-13;9.0;9.0;9.0;9.0
2020-12-02;16.0;16.0;16.0;16.0
2020-12-16;19.0;19.0;19.0;19.0
2020-12-27;16.3;16.3;16.3;16.3
2021-01-08;14.7;14.7;14.7;14.7
2021-01-20;11.0;11.0;11.0;11.0
2021-02-03;14.4;14.4;14.4;14.4
2021-02-22;25.0;25.0;25.0;25.0
2021-03-08;14.0;14.0;14.0;14.0
2021-03-22;9.5;9.5;9.5;9.5
2021-03-29;32.4;32.4;32.4;32.4
2021-04-12;6.9;6.9;6.9;6.9
2021-05-03;15.0;15.0;15.0;15.0
2021-07-05;38.0;38.0;38.0;38.0
2021-07-08;9.5;.;.;.
2021-07-12;14.1;24.1;.;.
2021-07-15;6.6;.;.;.
2021-07-19;12.7;19.3;42.8;.
2021-07-22;8.1;.;.;.
2021-07-26;10.4;18.6;.;61.3
2021-07-29;7.0;.;.;.
2021-08-02;8.9;15.9;34.4;.
2021-08-05;9.7;.;.;.
2021-08-09;7.8;17.5;.;.
2021-08-12;4.3;.;.;.
2021-08-16;10.5;14.8;32.4;48.2
2021-08-19;7.0;.;.;.
2021-08-23;6.5;13.5;.;.
2021-08-26;6.5;.;.;.
2021-08-30;8.8;15.3;33.5;.
2021-09-02;7.0;.;.;.
2021-09-06;3.8;10.8;.;57.4
2021-09-09;3.6;.;.;.
2021-09-13;4.8;8.4;23.9;.
2021-09-16;5.0;.;.;.
2021-09-20;4.4;9.4;.;.
