Year,DOY,Port 1Soil Resp.um co2/m2/s,Port 1VWC,Port 1Soil Temp.deg C,Port 2soil respum co2/m2/s,Port 2VWC,Port 2Soil Temp.deg C,Port 3soil respum co2/m2/s,Port 3VWC,Port 3Soil Temp.deg C,Port 4Soil Resp.um co2/m2/s,Por4VWC,Port 4Soil Temp.deg C,Port 5soil respum co2/m2/s,Port 5VWC,Port 5Soil Temp.deg C,Port 6soil respum co2/m2/s,Port 6VWC,Port 6Soil Temp.deg C,Port 7soil respum co2/m2/s,Port 7VWC,Port 7Soil Temp.deg C
17,1.0176,0.12,0.24968,7.032,0.16,0.23612,7.978,0.18,0.23665,7.614,NaN,0.24399,7.223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.0593,0.12,0.25019,7.329,0.15,0.23612,8.047,0.18,0.23718,7.739,NaN,0.24347,7.409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.1009,0.11,0.24968,7.043,0.12,0.23506,7.905,0.18,0.23559,7.565,NaN,0.24295,6.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.1426,0.12,0.24814,6.48,0.11,0.23453,7.481,0.19,0.23453,7.164,NaN,0.24139,6.398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.1843,NaN,0.24814,6.246,0.12,0.23453,7.19,0.18,0.23453,6.943,NaN,0.24139,6.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.2259,0.12,0.24814,6.421,0.12,0.234,7.198,0.18,0.234,7.008,NaN,0.24086,6.562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.2676,0.14,0.24762,6.642,0.17,0.234,7.308,0.17,0.23293,7.147,NaN,0.24086,6.704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.3093,0.13,0.24814,6.797,0.16,0.23347,7.399,0.21,0.23347,7.262,0.08,0.24086,6.774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.3509,0.15,0.24762,6.796,0.14,0.23293,7.384,0.22,0.23293,7.287,0.09,0.24086,6.876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.3926,0.15,0.24916,7.577,0.15,0.23506,7.781,0.23,0.23293,7.786,NaN,0.24191,7.769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.4343,0.14,0.25019,8.706,0.14,0.23876,8.403,0.23,0.23453,8.596,0.09,0.24451,8.732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.4759,NaN,0.25224,9.582,0.13,0.24399,9.006,0.18,0.23718,9.278,NaN,0.24865,9.226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.5176,NaN,0.25579,9.93,0.17,0.24659,9.492,0.18,0.23981,9.65,NaN,0.25376,9.315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.5593,NaN,0.2568,9.391,NaN,0.25528,9.49,NaN,0.24916,9.424,NaN,0.28312,8.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.6009,NaN,0.27791,9.238,NaN,0.26676,9.339,NaN,0.28406,9.311,NaN,0.29057,9.046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.6426,NaN,0.27455,9.631,0.12,0.26131,9.714,0.14,0.27647,9.519,NaN,0.28312,9.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.6843,NaN,0.27165,9.258,0.1,0.25831,9.784,0.11,0.27116,9.346,NaN,0.27647,9.195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.7259,NaN,0.26921,8.306,NaN,0.25478,9.225,0.12,0.26725,8.711,NaN,0.27165,7.817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.7676,NaN,0.26725,7.582,NaN,0.25325,8.598,NaN,0.26429,8.138,NaN,0.26872,7.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.8093,NaN,0.26578,6.774,NaN,0.2507,7.962,NaN,0.26131,7.518,NaN,0.26578,6.215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.8509,NaN,0.26479,6.436,NaN,0.25019,7.487,NaN,0.25982,7.125,NaN,0.2638,6.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.8926,NaN,0.2638,6.13,NaN,0.24865,7.177,NaN,0.25781,6.843,NaN,0.26231,5.522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1.9343,NaN,0.26231,5.278,NaN,0.24762,6.486,NaN,0.25579,6.18,NaN,0.26032,4.718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
