DOY,meanAT2,meanAT6,sum_R,rain_events,meanRH2,meanRH6,meanSWC5,meanSWC15,meanSWC30,meanST5,meanST15,meanST30,meanNEE,meanGPP,meanRECO,sdReco,Season,high_day,Rain_DOY,Pulse_Days,Pulse_DOY
1,0.9627291666666666,1.6172291666666667,0.508,2,85.68972875458333,85.55447927208333,12.566666666666666,22.829166666666666,22.675,4.845833333333333,5.164583333333334,6.058333333333334,-0.024506469119270825,0.32984567225291667,0.30533920312083335,0.2213440180679673,Winter,0,0,0,0
2,-3.4267291666666666,-2.523125,2.9210000000000003,5,89.41867472916667,89.895708604375,12.975,22.93125,22.79375,3.25,4.39375,6.029166666666667,0.1480117643794375,0.09545104764433333,0.24346281201458334,0.18200048347898412,Winter,0,0,0,0
3,0.23635416666666667,1.6245833333333333,0,0,60.46780732979167,58.132821452916666,13.785416666666666,24.9375,23.120833333333334,3.1145833333333335,3.85625,5.275,0.17685184861125,0.283543392161875,0.4603952407875,0.8983328770485748,Winter,0,0,0,0
4,6.4018125,7.909166666666667,0,0,32.51901909916667,29.474063005208333,13.808333333333334,26.652083333333334,23.275,4.21875,4.275,5.345833333333333,0.3866679054029167,0.07628731915354167,0.46295522454166665,0.13690709622787445,Winter,0,0,0,0
5,9.154666666666667,10.286875,0,0,40.030849653541665,38.095729253125,13.439583333333333,24.68125,23.229166666666668,5.304166666666666,5.372916666666667,5.733333333333333,0.28553908408770834,0.22160741298020833,0.5071464970645834,0.10297543570926182,Winter,0,0,0,0
11,6.174541666666666,7.235916666666666,0,0,72.86679620479167,71.09923492083334,14.816666666666666,25.054166666666667,24.135416666666668,7.914583333333334,7.814583333333333,7.925,0.31222451304225,0.15059435415958333,0.46281886720625,0.2844135806462138,Winter,0,0,0,0
12,6.949916666666667,8.146729166666667,0,0,57.04187231625,55.712458364166665,14.110416666666667,25.079166666666666,24.204166666666666,6.741666666666666,7.035416666666666,7.716666666666667,0.14731837561833333,0.2677470748370833,0.4150654504583333,0.10373621745915378,Winter,0,0,0,0
13,7.8731875,8.937041666666667,0,0,60.494567668125,59.750588174375,13.747916666666667,23.797916666666666,23.983333333333334,7.30625,7.754166666666666,7.795833333333333,0.14357318369635416,0.25386630748541666,0.3974394911833333,0.049816426662930575,Winter,0,0,0,0
14,7.943,9.208583333333333,0,0,59.140740828125,57.00251443166667,13.40625,23.15,23.8125,7.397916666666666,7.833333333333333,7.835416666666666,0.18287264629791666,0.18489965732708333,0.367772303625,0.05510927858030739,Winter,0,0,0,0
15,9.112875,10.432520833333333,0,0,56.108137238333335,54.13357219354167,13.120833333333334,22.583333333333332,23.583333333333332,7.345833333333333,7.9625,7.904166666666667,0.1854785897396729,0.17801146543625,0.3634900551770833,0.05815585213593301,Winter,0,0,0,0
16,9.1355,10.529104166666666,0,0,65.65372954,63.25258665520833,12.98125,21.829166666666666,23.379166666666666,8.202083333333333,8.420833333333333,8.166666666666666,0.13004785908041666,0.22333568146079583,0.3533835405395833,0.0870540968716878,Winter,0,0,0,0
17,10.128666666666666,11.293625,0,0,49.55331348625,47.93236486666667,12.791666666666666,21.347916666666666,23.239583333333332,8.510416666666666,8.633333333333333,8.460416666666667,0.157495277089625,0.20491655893145833,0.362411836025,0.1445788361597453,Winter,0,0,0,0
18,8.229625,9.327020833333334,0,0,62.380802066875,61.428762885833336,12.554166666666667,21.047916666666666,22.933333333333334,8.5875,8.635416666666666,8.697916666666666,-8.093806165833326e-4,0.3078667044933333,0.307057323875,0.1119987564482208,Winter,0,0,0,0
19,7.886604166666666,9.06325,0,0,35.87670869604167,34.050889912291666,12.2375,21.064583333333335,22.847916666666666,8.0125,8.085416666666667,8.547916666666667,0.11811243020395833,0.169593610873125,0.28770604108541664,0.11569352185295562,Winter,0,0,0,0
