Date10,Summer,Precip_daily
2020-07-14,S1,38
2020-07-14,S2,38
2020-07-14,S3,38
2020-07-14,S4,38
2020-07-17,S1,9.5
2020-07-17,S2,0
2020-07-17,S3,0
2020-07-17,S4,0
2020-07-20,S1,14.1
2020-07-20,S2,24.1
2020-07-20,S3,0
2020-07-20,S4,0
2020-07-23,S1,6.6
2020-07-23,S2,0
2020-07-23,S3,0
2020-07-23,S4,0
2020-07-27,S1,12.7
2020-07-27,S2,19.3
2020-07-27,S3,42.8
2020-07-27,S4,0
2020-07-30,S1,8.1
2020-07-30,S2,0
2020-07-30,S3,0
2020-07-30,S4,0
2020-08-03,S1,10.4
2020-08-03,S2,18.6
2020-08-03,S3,0
2020-08-03,S4,61.3
2020-08-06,S1,7
2020-08-06,S2,0
2020-08-06,S3,0
2020-08-06,S4,0
2020-08-10,S1,8.9
2020-08-10,S2,15.9
2020-08-10,S3,34.4
2020-08-10,S4,0
2020-08-13,S1,9.7
2020-08-13,S2,0
2020-08-13,S3,0
2020-08-13,S4,0
2020-08-17,S1,7.8
2020-08-17,S2,17.5
2020-08-17,S3,0
2020-08-17,S4,0
2020-08-20,S1,4.3
2020-08-20,S2,0
2020-08-20,S3,0
2020-08-20,S4,0
2020-08-24,S1,10.5
2020-08-24,S2,14.8
2020-08-24,S3,32.4
2020-08-24,S4,48.2
2020-08-27,S1,7
2020-08-27,S2,0
2020-08-27,S3,0
2020-08-27,S4,0
2020-08-31,S1,6.5
2020-08-31,S2,13.5
2020-08-31,S3,0
2020-08-31,S4,0
2020-09-03,S1,6.5
2020-09-03,S2,0
2020-09-03,S3,0
2020-09-03,S4,0
2020-09-07,S1,8.8
2020-09-07,S2,15.3
2020-09-07,S3,33.5
2020-09-07,S4,0
2020-09-10,S1,7
2020-09-10,S2,0
2020-09-10,S3,0
2020-09-10,S4,0
2020-09-14,S1,3.8
2020-09-14,S2,10.8
2020-09-14,S3,0
2020-09-14,S4,57.4
2020-09-17,S1,3.6
2020-09-17,S2,0
2020-09-17,S3,0
2020-09-17,S4,0
2020-09-21,S1,4.8
2020-09-21,S2,8.4
2020-09-21,S3,23.9
2020-09-21,S4,0
2020-09-24,S1,5
2020-09-24,S2,0
2020-09-24,S3,0
2020-09-24,S4,0
2020-09-28,S1,4.4
2020-09-28,S2,9.4
2020-09-28,S3,0
2020-09-28,S4,0
2020-10-02,S1,4
2020-10-02,S2,0
2020-10-02,S3,0
2020-10-02,S4,0
2020-10-05,S1,4
2020-10-05,S2,8
2020-10-05,S3,0
2020-10-05,S4,0
2020-10-29,S1,30
2020-10-29,S2,30
2020-10-29,S3,30
2020-10-29,S4,30
2020-11-13,S1,9
2020-11-13,S2,9
2020-11-13,S3,9
2020-11-13,S4,9
2020-12-02,S1,16
2020-12-02,S2,16
2020-12-02,S3,16
2020-12-02,S4,16
2020-12-16,S1,19
2020-12-16,S2,19
2020-12-16,S3,19
2020-12-16,S4,19
2020-12-27,S1,16.3
2020-12-27,S2,16.3
2020-12-27,S3,16.3
2020-12-27,S4,16.3
2021-01-08,S1,14.7
2021-01-08,S2,14.7
2021-01-08,S3,14.7
2021-01-08,S4,14.7
2021-01-20,S1,11
2021-01-20,S2,11
2021-01-20,S3,11
2021-01-20,S4,11
2021-02-03,S1,14.4
2021-02-03,S2,14.4
2021-02-03,S3,14.4
2021-02-03,S4,14.4
2021-02-22,S1,25
2021-02-22,S2,25
2021-02-22,S3,25
2021-02-22,S4,25
2021-03-08,S1,14
2021-03-08,S2,14
2021-03-08,S3,14
