"","date","meanAT2","meanAT6","sum_R","rain_events","meanRH2","meanRH6","meanSWC5","sdSWC5","meanSWC15","sdSWC15","meanSWC30","meanST5","meanST15","meanST30","meanNEE","meanGPP","meanRECO","sdReco","bigR","bigRmm","DOY.x","Season","year","Pulse_DOY","DOY.y","PulseDays"
"1",2013-01-26,"11.003541666666667","11.228458333333334",7.239,11,"90.088541324375","83.80494077354167","9.583333333333334","0.49808777440261937","12.354166666666666","0.4832510020039735","8.211666666666666","12.08125","13.108333333333334","11.883333333333333","0.14609059124979165","0.35680805072916666","0.5028986419708333","0.40889097483167586",1,7.239,26,"Winter",2013,26,26,26
"2",2013-01-27,"9.735041666666667","9.886104166666668",0.762,3,"82.945436835","77.22599196666667","11.770833333333334","1.533129168625818","12.416666666666666","0.4981557893995737","8.302083333333334","10.922916666645833","12.041666666666666","11.7","0.28375990061208334","0.11730507458375","0.4010649752041667","0.21610113839998557",0,0,27,"Winter",2013,0,27,27
"3",2013-01-28,"6.051729166666666","6.1335",0.889,2,"83.636790590625","79.52799018229166","12.75","0.43736264378114786","13.416666666666666","0.4981557893995737","8.357291666666667","8.677083333333334","10.4375","11.235416666666667","0.208103322761875","0.2137224566625","0.42182577941854166","0.3100120607593086",0,0,28,"Winter",2013,0,28,28
"4",2013-01-29,"-0.28162499999999996","-0.04839583333333333",3.048,4,"72.85553781625","68.57875636125","13.958333333333334","1.3830580349380486","14.375","1.298500078137718","8.25875","4.154166666666667","7.53125","9.847916666666666","0.11728619384208333","0.0545967883681875","0.17188298221854167","0.14092720553405902",0,0,29,"Winter",2013,0,29,29
"5",2013-01-30,"2.3165625","2.9744166666666665",0,0,"53.48350556979167","47.915706891041665","14.229166666666666","0.4720439314546968","16.416666666666668","0.4981557893995737","8.196250000000001","3.5416666666666665","5.84375","8.052083333333334","0.12429235402041666","0.100567556690625","0.22485991069604166","0.23970407685873163",0,0,30,"Winter",2013,0,30,30
"6",2013-02-21,"-0.12233333333333328","0.307125",5.842,3,"82.66270151083333","78.7463294025","14.75","4.507368499216157","14.708333333333334","2.457786073278485","8.778125","4.633333333333334","6.841666666666667","8.427083333333334","0.07419293252229167","0.08031284174541667","0.15450577426458334","0.09649037175931262",1,5.842,52,"Winter",2013,52,52,52
"7",2013-02-22,"2.7786458333333335","3.154541666666667",0,0,"72.84484324958333","67.74017428354166","16.479166666666668","0.5828475187682934","19.3125","0.4684174352188668","8.629375","5.6645833332708335","7.16875","7.960416666666667","0.20146337718","0.05864088808375","0.260104265265","0.1835370441737498",0,0,53,"Winter",2013,0,53,53
"8",2013-02-23,"6.089229166666667","6.6916875",0,0,"48.08918284666667","42.747369210416664","15.166666666666666","0.476321944453152","18.75","0.4837794468468967","8.775625","6.379166666625","7.7562499999791665","8.079166666666667","0.13285273026458333","0.12922217188020832","0.262074902125","0.11588387557477867",0,0,54,"Winter",2013,0,54,54
"9",2013-02-24,"2.407395833333333","2.81375",0,0,"40.810936784166664","37.282007969791664","14.229166666666666","0.4245050316445581","18.041666666666668","0.20160511441770687","8.818333333333333","5.516666666666667","7.610416666666667","8.377083333333333","-0.14983223790541667","0.31233301693120835","0.162500778994375","0.058529473101314775",0,0,55,"Winter",2013,0,55,55
"10",2013-02-25,"1.9454375","2.5170208333333335",0,0,"39.121839637708334","34.904340696458334","13.541666666666666","0.5439009573543256","17.354166666666668","0.48318088858681785","8.590208333333333","4.779166666666667","6.722916666666666","7.61875","0.03138831293695833","0.07982368687154166","0.11121199981041667","0.054889070284313043",0,0,56,"Winter",2013,0,56,56
"11",2013-03-08,"8.357770833333333","8.562854166666666",8.89,9,"68.137924639375","64.09009023333333","11.854166666666666","1.9348631762381678","15.166666666666666","0.37635181958416686","9.614374999999999","11.552083333333334","13.902083333333334","13.685416666666667","0.15997705216541666","0.11265048743239583","0.2726275396216667","0.23630444232535505",1,8.89,67,"Spring",2013,67,67,67
"12",2013-03-09,"2.862125","3.0015625",0,0,"79.608242575625","75.45362268833334","16.854166666666668","0.583021877515114","15.8125","1.1967375865509655","9.443125","7.03125","9.720833333333333","11.620833333333334","0.12757729318625","0.09607219659479166","0.22364948978083335","0.24467550856618278",0,0,68,"Spring",2013,0,68,68
"13",2013-03-10,"6.1702916666666665","6.3211875",0,0,"64.24284057333334","60.115079477500004","15.479166666666666","0.5828475187682934","17.6875","0.7482248495819388","9.602291666666666","9.13125","10.558333333333334","10.610416666666667","0.02975236062425","0.14990093258820833","0.179653293216875","0.08646506120248272",0,0,69,"Spring",2013,0,69,69
"14",2013-03-11,"10.231916666666667","10.673708333333334",0,0,"37.69865303729166","33.40039576020833","14.704545454545455","0.7338320287574676","17.954545454545453","0.7136985469405124","9.571041666666666","10.568181818181818","11.929545454545455","11.147727272727273","0.03371520319972917","0.240234847385","0.2739500505875","0.14299834833640457",0,0,70,"Spring",2013,0,70,70
"15",2013-03-12,"14.223791666666667","14.892395833333333",0,0,"27.142833505416668","23.110532263916667","14.416666666666666","0.646764405813633","17.8125","0.7042321197272777","9.505833333333333","12.46875","13.354166666666666","11.945833333333333","-0.031646080266666675","0.3339176181783333","0.30227153788958333","0.13529076311237057",0,0,71,"Spring",2013,0,71,71
"16",2013-07-08,"25.849375000000002","26.122291666666666",8.763,2,"52.22690188229166","46.919916647916665","9.291666666666666","6.5166077476876465","7.229166666666667","0.4246646226680674","7.938125","27.216666666666665","28.822916666666668","28.76875","1.5957059476958333","0.6289380069033333","2.2246439545416665","0.44216558350956925",1,8.763,189,"Summer",2013,189,189,189
"17",2013-07-09,"23.910416666666666","23.979583333333334",27.813,8,"67.44086171875","61.73691678791667","19.291666666666668","4.550426933556437","7.5625","1.0084386127050968","7.969166666666666","26.927083333333332","28.889583333333334","28.23125","2.2812670642270834","0.13735763515083332","2.4186246993333333","0.9482453922656798",1,27.813,190,"Summer",2013,190,190,190
"18",2013-07-10,"22.461666666666666","22.61625",1.778,2,"78.22596759604167","71.83874676125","21.520833333333332","1.7379959878568307","20.645833333333332","1.6565535997395873","7.903958333333334","25.710416666666667","27.333333333333332","27.779166666666665","2.19907728494375","0.09049465027208332","2.2895719352083335","1.1179437185144507",0,0,191,"Summer",2013,0,191,191
"19",2013-07-11,"22.69354166666667","22.86",5.461,2,"73.36490646166666","67.05260304958334","21.666666666666668","1.7903449278008163","23","0.7989354619369612","7.979166666666666","25.4","27.23125","27.233333333333334","2.4775811338208333","0.02477665723125","2.502357791041667","1.3440982954577425",1,5.461,192,"Summer",2013,192,192,192
"20",2013-07-12,"24.162708333333335","24.215",2.54,4,"61.3964355475","56.084584551666666","19.354166666666668","0.7288350923470164","22.0625","0.6653956635670785","8.566666666666666","27.170833333333334","28.3375","27.308333333333334","1.89698618840625","0.15916574371854167","2.056151932125","0.7024990520654587",0,0,193,"Summer",2013,0,193,193
