"","as.numeric(DOY)","meanSR1","meanSR2","meanSR3","meanSR4","meanST1","meanST2","meanST3","meanST4","meanSM1","meanSM2","meanSM3","meanSM4"
"1",1,0.138181818181818,0.14,0.18,0.0866666666666667,7.4766,8.13492,7.9658,7.90850666668,NA,0.088916006,0.07096935,0.075148566
"2",2,0.153636363636364,0.167272727272727,0.193333333333333,0.21,5.773125,5.71354166666667,5.86283333333333,5.78316666658333,NA,NA,NA,NA
"3",3,0.265333333333333,0.248666666666667,0.280526315789474,0.227142857142857,6.88782608695652,6.8194347826087,6.78430434782609,6.83052173891304,NA,NA,NA,NA
"4",4,0.325833333333333,0.327916666666667,0.382083333333333,0.3,8.68458333333333,8.52420833333333,8.28091666666667,8.49656944475,NA,NA,NA,NA
"5",5,0.339583333333333,0.352083333333333,0.389166666666667,0.319,8.13316666666667,8.039,7.72170833333333,7.96462500004167,NA,NA,NA,NA
"6",6,0.316666666666667,0.344166666666667,0.3725,0.293333333333333,8.12229166666667,7.93475,7.459375,7.83880555545833,NA,NA,NA,NA
"7",7,0.270833333333333,0.304166666666667,0.32625,0.344444444444444,7.305625,7.16908333333333,6.7365,7.070402777875,NA,NA,NA,NA
"8",8,0.33875,0.3675,0.39,0.347333333333333,9.52504166666667,9.01954166666667,8.621875,9.05548611133333,NA,NA,NA,NA
"9",9,0.386666666666667,0.389583333333333,0.442916666666667,0.27,10.765,10.3759583333333,9.96254166666667,10.3678333331667,NA,NA,NA,NA
"10",10,0.360833333333333,0.360833333333333,0.398333333333333,0.368,9.9105,9.43795833333333,9.086125,9.47819444458333,NA,NA,NA,NA
"11",11,0.341666666666667,0.349166666666667,0.370833333333333,0.395,9.30925,8.75945833333333,8.32516666666667,8.79795833320833,NA,NA,NA,NA
"12",12,0.326666666666667,0.316666666666667,0.347916666666667,0.359,8.97645833333333,8.5505,8.11525,8.5474027775,NA,NA,NA,NA
"13",13,0.325416666666667,0.3,0.347083333333333,0.244375,9.01354166666667,8.67858333333333,8.26483333333333,8.65231944429167,NA,NA,NA,NA
"14",14,0.370952380952381,0.333333333333333,0.401363636363636,0.205,10.6565416666667,10.1552916666667,9.783125,10.19831944425,NA,NA,NA,NA
"15",15,NA,0.1,0.137,NA,7.818,8.064625,7.99833333333333,7.96031944441667,NA,NA,NA,NA
"16",16,0.114,0.141428571428571,0.188461538461538,0.13,7.63720833333333,7.49120833333333,7.60041666666667,7.57627777745833,NA,NA,NA,NA
"17",17,0.192307692307692,0.213076923076923,0.236666666666667,0.215,7.26483333333333,7.13783333333333,7.079625,7.160763888875,NA,NA,NA,NA
"18",18,0.1975,0.1825,0.204736842105263,0.214,5.951,6.397,6.16985,6.17261666665,NA,NA,NA,NA
"19",19,0.239166666666667,0.229583333333333,0.275416666666667,0.2425,6.12804166666667,6.35979166666667,6.23470833333333,6.24084722220833,NA,NA,NA,NA
"20",20,0.246842105263158,0.255652173913043,0.275,0.228571428571429,6.23141666666667,6.23675,6.2785,6.248888888875,NA,NA,NA,NA
