doy,Month,temp,GPP,SmothedTEMP,SmothedMoisture
1,1,5,0,3.089664998,0.021428571
2,1,5,0,3.209256349,0.025714286
3,1,5,0,2.464429068,0.022857143
4,1,5,0,2.726573367,0.028571429
5,1,5,0,3.208540733,0.022857143
6,1,5,0,4.86825952,0.02
7,1,5,0,6.058150562,0.022857143
8,1,5,0,6.97037245,0.031428571
9,1,5,0,8.022102727,0.025714286
10,1,5,0,7.100002423,0.025714286
11,1,5,0,6.620057727,0.02
12,1,5,0,7.590480828,0.017142857
13,1,5,0,7.253407998,0.02
14,1,5,0,7.369287963,0.02
15,1,5,0,7.574575708,0.017142857
16,1,5,0,6.082314597,0.017142857
17,1,5,0,5.452999159,0.017142857
18,1,5,0,6.277842084,0.02
19,1,5,0,6.647225364,0.028571429
20,1,5,0,7.066512948,0.031428571
21,1,5,0,6.649927803,0.034285714
22,1,5,0,4.667143058,0.037142857
23,1,5,0,4.023297854,0.04
24,1,5,0,3.776630127,0.037142857
25,1,5,0,4.594522114,0.04
26,1,5,0,5.671966911,0.031428571
27,1,5,0,4.323342907,0.028571429
28,1,5,0,5.699508864,0.031428571
29,1,5,0,5.78206708,0.022857143
30,1,5,0,5.336662789,0.022857143
31,2,5,0,5.537910145,0.031428571
32,2,5,0,5.047126684,0.022857143
33,2,5,0,3.166927494,0.022857143
34,2,5,0,4.065188048,0.025714286
35,2,5,0,4.977251972,0.025714286
36,2,5,0,3.801452765,0.034285714
37,2,5,0.070536454,5.075319593,0.04
38,2,5,0,5.554035162,0.034285714
39,2,5,0,6.724221667,0.037142857
40,2,5,0,6.54302147,0.037142857
41,2,5,0.040915655,5.709918909,0.04
42,2,5,0,3.951628441,0.031428571
43,2,5,0,2.993444237,0.022857143
44,2,5,0,4.973083554,0.025714286
45,2,5,0.086427023,5.902698981,0.057142857
46,2,5,0.09997461,5.663429002,0.054285714
47,2,5,0.079029075,6.501002019,0.065714286
48,2,5,0.125394033,4.503741112,0.077142857
49,2,5,0.134367873,5.460022607,0.077142857
50,2,5,0.133609502,6.839303891,0.08
51,2,5,0.132254465,5.3313589,0.091428571
52,2,5,0.210546263,5.667217114,0.06
53,2,5,0.225296883,3.802247073,0.074285714
54,2,5,0.278962713,3.75090275,0.082857143
55,2,5,0.246897804,5.139952844,0.077142857
56,2,5,0.311754887,5.660961926,0.085714286
57,2,5,0.362926093,6.036954743,0.102857143
58,2,5,0.286995315,4.604727016,0.094285714
59,2,5,0.296359324,3.636944745,0.094285714
60,2,5,0.249926707,4.62677268,0.08
61,3,5,0.241722111,4.469194247,0.077142857
62,3,5,0.244300113,6.290529366,0.071428571
63,3,5,0.242588091,6.96724543,0.074285714
64,3,5,0.207058031,4.665310838,0.06
65,3,5,0.257977057,4.464399214,0.054285714
66,3,5,0.282911493,4.606811436,0.051428571
67,3,5,0.313925045,4.59937216,0.062857143
68,3,5,0.329367747,6.140572263,0.062857143
69,3,5,0.336366245,7.565157835,0.054285714
70,3,10,0.291893535,7.46388958,0.045714286
71,3,10,0.259889549,7.991483194,0.04
72,3,10,0,8.69422784,0.031428571
73,3,10,0,9.939648006,0.034285714
74,3,10,0,9.580763509,0.028571429
75,3,10,0,9.330815564,0.022857143
76,3,10,0,9.896461927,0.022857143
77,3,10,0,7.851829056,0.02
78,3,10,0,6.784757615,0.025714286
79,3,10,0,5.481911472,0.037142857
80,3,5,0.174945563,3.319060701,0.04
81,3,5,0.237838792,3.543011919,0.042857143
82,3,5,0,5.526476294,0.031428571
83,3,5,0.213527657,6.201057114,0.04
84,3,5,0.272422089,7.834033741,0.048571429
85,3,5,0.264420241,7.952734707,0.042857143
86,3,5,0,5.784380176,0.037142857
87,3,5,0.215315504,6.113094224,0.04
88,3,5,0,4.671610412,0.031428571
89,3,5,0,7.7898819,0.031428571
90,3,5,0,11.89739315,0.028571429
91,3,5,0,14.17799222,0.028571429
92,4,20,0,19.26071222,0.037142857
93,4,20,0,20.14719614,0.034285714
94,4,20,0,21.4875565,0.031428571
95,4,20,0.522759798,21.11159203,0.04
96,4,20,0.512123035,19.75646359,0.048571429
97,4,20,0.441697808,18.57267752,0.042857143
98,4,20,0,17.54523177,0.034285714
99,4,20,0,18.27554418,0.028571429
100,4,20,0,19.64434197,0.028571429
101,4,20,0,19.67127549,0.022857143
102,4,20,0,19.91820524,0.014285714
103,4,20,0,20.91848351,0.014285714
104,4,20,0,19.5350872,0.022857143
105,4,20,0,19.77660611,0.022857143
106,4,20,0,19.33158518,0.025714286
107,4,20,0,19.92673018,0.028571429
108,4,20,0,21.26272086,0.034285714
109,4,20,0,22.49884482,0.04
110,4,20,0,23.85962347,0.037142857
111,4,20,0,22.37062841,0.031428571
112,4,20,0,20.8581233,0.034285714
113,4,20,0,19.18662946,0.031428571
114,4,20,0,18.62931343,0.025714286
115,4,20,0,18.25321593,0.02
116,4,20,0,18.96564905,0.02
117,4,20,0,19.73489671,0.017142857
118,4,20,0,20.60848454,0.022857143
119,4,20,0,22.68946996,0.02
120,4,20,0,23.58710082,0.022857143
121,4,20,0,25.82090438,0.028571429
122,5,25,0,25.16246408,0.031428571
123,5,25,0,24.59025646,0.028571429
124,5,25,0,24.23355024,0.025714286
125,5,25,0,24.34579707,0.022857143
126,5,25,0,25.93692487,0.031428571
127,5,25,0,25.62004704,0.028571429
128,5,25,0,26.03668777,0.028571429
129,5,25,0,23.88634398,0.031428571
130,5,25,0,23.21128036,0.028571429
131,5,25,0,24.05429667,0.028571429
132,5,25,0,23.37000107,0.022857143
133,5,25,0,25.00424259,0.014285714
134,5,25,0,24.25542041,0.011428571
135,5,25,0,24.62148736,0.008571429
136,5,25,0,24.99176385,0.011428571
137,5,25,0,25.38203044,0.014285714
138,5,25,0,25.31048108,0.017142857
139,5,25,0,24.82502516,0.02
140,5,25,0,25.21547701,0.028571429
141,5,25,0,23.47076265,0.037142857
142,5,25,1.001564402,24.02854599,0.042857143
143,5,25,0,24.21504719,0.034285714
144,5,25,1.045644432,25.06282599,0.04
145,5,25,1.058210686,24.70395838,0.042857143
146,5,25,1.071092869,24.73379679,0.048571429
147,5,25,1.070470713,24.5072647,0.048571429
148,5,25,1.004129742,23.96383902,0.04
149,5,25,0.985744409,24.28965794,0.04
150,5,25,1.193226093,27.32227049,0.042857143
151,5,25,1.333881267,30.0669209,0.04
152,5,25,0,31.96042466,0.037142857
153,6,35,0,34.50431189,0.028571429
154,6,35,0,34.63503764,0.022857143
155,6,35,0,35.59687093,0.031428571
156,6,35,0,36.41896105,0.028571429
157,6,35,0,38.24208238,0.034285714
158,6,35,0,37.65812406,0.037142857
159,6,35,1.7642386,37.37158016,0.04
160,6,35,1.771882336,37.10626577,0.04
161,6,35,0,35.34861149,0.037142857
162,6,35,0,34.76300501,0.034285714
163,6,35,0,35.10499898,0.028571429
164,6,35,0,36.11559303,0.02
165,6,35,0,36.294827,0.02
166,6,35,0,37.04893745,0.022857143
167,6,35,0,35.69186502,0.022857143
168,6,35,0,33.46109459,0.031428571
169,6,35,0,33.30850664,0.028571429
170,6,35,0,32.04975478,0.028571429
171,6,35,0,32.61617852,0.034285714
172,6,35,0,32.98293253,0.031428571
173,6,35,0,33.40745497,0.025714286
174,6,35,0,34.71845098,0.034285714
175,6,35,0,34.87078869,0.031428571
