year;month;day;hour;minute;Fs_1;Fs_2;Fs_3;Fs_4;Ts_1;TFs_2;TFs_3;Ts_4;VWC_1;VWC_2;VWC_3;VWC_4
2017;1;1;0;25;0.12;0.16;0.18;NaN;7.032;7.978;7.614;7.541333333;NaN;NaN;NaN;NaN
2017;1;1;1;25;0.12;0.15;0.18;NaN;7.329;8.047;7.739;7.705;NaN;NaN;NaN;NaN
2017;1;1;2;25;0.11;0.12;0.18;NaN;7.043;7.905;7.565;7.504333333;NaN;NaN;NaN;NaN
2017;1;1;3;25;0.12;0.11;0.19;NaN;6.48;7.481;7.164;7.041666667;NaN;NaN;NaN;NaN
2017;1;1;4;25;NaN;0.12;0.18;NaN;6.246;7.19;6.943;6.793;NaN;NaN;NaN;NaN
2017;1;1;5;25;0.12;0.12;0.18;NaN;6.421;7.198;7.008;6.875666667;NaN;NaN;NaN;NaN
2017;1;1;6;25;0.14;0.17;0.17;NaN;6.642;7.308;7.147;7.032333333;NaN;NaN;NaN;NaN
2017;1;1;7;25;0.13;0.16;0.21;0.08;6.797;7.399;7.262;7.152666667;NaN;NaN;NaN;NaN
2017;1;1;8;25;0.15;0.14;0.22;0.09;6.796;7.384;7.287;7.155666667;NaN;NaN;NaN;NaN
2017;1;1;9;25;0.15;0.15;0.23;NaN;7.577;7.781;7.786;7.714666667;NaN;NaN;NaN;NaN
2017;1;1;10;25;0.14;0.14;0.23;0.09;8.706;8.403;8.596;8.568333333;NaN;NaN;NaN;NaN
2017;1;1;11;25;NaN;0.13;0.18;NaN;9.582;9.006;9.278;9.288666667;NaN;NaN;NaN;NaN
2017;1;1;12;25;NaN;0.17;0.18;NaN;9.93;9.492;9.65;9.690666667;NaN;NaN;NaN;NaN
2017;1;1;13;25;NaN;NaN;NaN;NaN;9.391;9.49;9.424;9.435;NaN;NaN;NaN;NaN
2017;1;1;14;25;NaN;NaN;NaN;NaN;9.238;9.339;9.311;9.296;NaN;NaN;NaN;NaN
2017;1;1;15;25;NaN;0.12;0.14;NaN;9.631;9.714;9.519;9.621333333;NaN;NaN;NaN;NaN
2017;1;1;16;25;NaN;0.1;0.11;NaN;9.258;9.784;9.346;9.462666667;NaN;NaN;NaN;NaN
2017;1;1;17;25;NaN;NaN;0.12;NaN;8.306;9.225;8.711;8.747333333;NaN;NaN;NaN;NaN
2017;1;1;18;25;NaN;NaN;NaN;NaN;7.582;8.598;8.138;8.106;NaN;NaN;NaN;NaN
2017;1;1;19;25;NaN;NaN;NaN;NaN;6.774;7.962;7.518;7.418;NaN;NaN;NaN;NaN
2017;1;1;20;25;NaN;NaN;NaN;NaN;6.436;7.487;7.125;7.016;NaN;NaN;NaN;NaN
2017;1;1;21;25;NaN;NaN;NaN;NaN;6.13;7.177;6.843;6.716666667;NaN;NaN;NaN;NaN
2017;1;1;22;25;NaN;NaN;NaN;NaN;5.278;6.486;6.18;5.981333333;NaN;NaN;NaN;NaN
2017;1;1;23;25;NaN;NaN;NaN;NaN;4.621;5.87;5.617;5.369333333;NaN;NaN;NaN;NaN
2017;1;2;0;25;NaN;NaN;NaN;NaN;4.082;5.331;5.144;4.852333333;NaN;NaN;NaN;NaN
2017;1;2;1;25;NaN;NaN;NaN;NaN;3.668;4.886;4.766;4.44;NaN;NaN;NaN;NaN
2017;1;2;2;25;NaN;NaN;NaN;NaN;3.281;4.478;4.417;4.058666667;NaN;NaN;NaN;NaN
2017;1;2;3;25;NaN;NaN;NaN;NaN;2.958;4.122;4.117;3.732333333;NaN;NaN;NaN;NaN
2017;1;2;4;25;NaN;NaN;NaN;NaN;2.68;3.79;3.839;3.436333333;NaN;NaN;NaN;NaN
2017;1;2;5;25;NaN;NaN;NaN;NaN;2.486;3.538;3.618;3.214;NaN;NaN;NaN;NaN
2017;1;2;6;25;NaN;NaN;NaN;NaN;2.301;3.301;3.405;3.002333333;NaN;NaN;NaN;NaN
2017;1;2;7;25;NaN;NaN;NaN;NaN;2.162;3.108;3.226;2.832;NaN;NaN;NaN;NaN
2017;1;2;8;25;NaN;NaN;NaN;NaN;2.115;2.993;3.142;2.75;NaN;NaN;NaN;NaN
2017;1;2;9;25;NaN;NaN;0.11;NaN;2.274;3.002;3.267;2.847666667;NaN;NaN;NaN;NaN
2017;1;2;10;25;NaN;NaN;0.17;NaN;3.932;3.285;4.212;3.809666667;NaN;NaN;NaN;NaN
2017;1;2;11;25;NaN;0.11;0.19;0.16;6.843;4.612;5.877;5.777333333;NaN;NaN;NaN;NaN
2017;1;2;12;25;0.11;0.17;0.21;0.25;8.944;6.097;7.25;7.430333333;NaN;NaN;NaN;NaN
2017;1;2;13;25;0.17;0.22;0.25;0.28;10.419;7.231;8.018;8.556;NaN;NaN;NaN;NaN
2017;1;2;14;25;0.16;0.19;0.23;0.21;10.554;8.159;8.722;9.145;NaN;NaN;NaN;NaN
2017;1;2;15;25;0.19;0.17;0.24;0.17;10.27;8.894;9.064;9.409333333;NaN;NaN;NaN;NaN
2017;1;2;16;25;0.18;0.2;0.27;0.19;9.777;9.001;8.992;9.256666667;NaN;NaN;NaN;NaN
2017;1;2;17;25;0.18;0.19;0.21;NaN;9.011;8.721;8.551;8.761;NaN;NaN;NaN;NaN
2017;1;2;18;25;NaN;0.15;0.22;NaN;7.918;8.025;7.745;7.896;NaN;NaN;NaN;NaN
2017;1;2;19;25;0.13;0.14;0.18;NaN;7.309;7.519;7.289;7.372333333;NaN;NaN;NaN;NaN
2017;1;2;20;25;0.19;0.16;0.17;NaN;6.771;7.074;6.833;6.892666667;NaN;NaN;NaN;NaN
2017;1;2;21;25;0.13;0.14;0.16;NaN;6.439;6.782;6.571;6.597333333;NaN;NaN;NaN;NaN
2017;1;2;22;25;0.15;NaN;0.16;NaN;6.47;6.754;6.541;6.588333333;NaN;NaN;NaN;NaN
2017;1;2;23;25;0.1;NaN;0.13;NaN;5.891;6.422;6.102;6.138333333;NaN;NaN;NaN;NaN
2017;1;3;0;25;0.1;NaN;0.13;NaN;5.218;5.908;5.642;5.589333333;NaN;NaN;NaN;NaN
2017;1;3;1;25;NaN;0.11;NaN;NaN;4.694;5.455;5.195;5.114666667;NaN;NaN;NaN;NaN
2017;1;3;2;25;NaN;NaN;0.13;NaN;4.275;5.07;4.827;4.724;NaN;NaN;NaN;NaN
2017;1;3;3;25;NaN;NaN;0.13;NaN;3.949;4.768;4.601;4.439333333;NaN;NaN;NaN;NaN
2017;1;3;4;25;NaN;NaN;0.13;NaN;3.652;4.497;4.358;4.169;NaN;NaN;NaN;NaN
2017;1;3;5;25;NaN;NaN;NaN;NaN;3.381;4.248;4.135;3.921333333;NaN;NaN;NaN;NaN
2017;1;3;6;25;NaN;NaN;NaN;NaN;3.142;4.026;3.943;3.703666667;NaN;NaN;NaN;NaN
2017;1;3;7;25;NaN;NaN;0.11;NaN;2.91;3.822;3.767;3.499666667;NaN;NaN;NaN;NaN
2017;1;3;8;25;NaN;NaN;NaN;NaN;2.882;3.712;3.714;3.436;NaN;NaN;NaN;NaN
2017;1;3;9;25;0.14;0.13;0.19;0.11;3.591;3.967;4.193;3.917;NaN;NaN;NaN;NaN
2017;1;3;10;25;0.13;0.13;0.22;0.21;5.435;4.712;5.413;5.186666667;NaN;NaN;NaN;NaN
2017;1;3;11;25;0.22;0.18;0.27;0.28;7.742;6.035;6.904;6.893666667;NaN;NaN;NaN;NaN
2017;1;3;12;25;0.23;0.24;0.37;0.3;10.138;7.463;8.31;8.637;NaN;NaN;NaN;NaN
2017;1;3;13;25;0.33;0.34;0.41;0.44;11.169;8.739;9.204;9.704;NaN;NaN;NaN;NaN
2017;1;3;14;25;0.41;0.38;0.51;0.46;11.827;9.667;10;10.498;NaN;NaN;NaN;NaN
2017;1;3;15;25;0.39;0.34;0.4;0.34;10.974;10.181;10.316;10.49033333;NaN;NaN;NaN;NaN
2017;1;3;17;25;0.32;0.31;0.36;0.2;10.314;10.128;9.787;10.07633333;NaN;NaN;NaN;NaN
2017;1;3;18;25;0.34;0.28;0.32;0.18;9.633;9.689;9.268;9.53;NaN;NaN;NaN;NaN
2017;1;3;19;25;0.3;0.26;0.32;0.15;9.21;9.368;8.913;9.163666667;NaN;NaN;NaN;NaN
2017;1;3;20;25;0.27;0.28;0.36;0.14;8.886;9.113;8.64;8.879666667;NaN;NaN;NaN;NaN
2017;1;3;21;25;0.27;0.25;0.35;0.13;8.636;8.894;8.431;8.653666667;NaN;NaN;NaN;NaN
2017;1;3;22;25;0.28;0.25;0.33;0.12;8.476;8.758;8.302;8.512;NaN;NaN;NaN;NaN
2017;1;3;23;25;0.25;0.25;0.29;0.12;8.286;8.627;8.176;8.363;NaN;NaN;NaN;NaN
2017;1;4;0;25;0.25;0.23;0.27;NaN;8.08;8.447;8.015;8.180666667;NaN;NaN;NaN;NaN
2017;1;4;1;25;0.26;0.24;0.27;0.1;7.889;8.273;7.86;8.007333333;NaN;NaN;NaN;NaN
2017;1;4;2;25;0.28;0.3;0.29;0.1;7.687;8.08;7.705;7.824;NaN;NaN;NaN;NaN
2017;1;4;3;25;0.28;0.21;0.26;NaN;7.452;7.908;7.528;7.629333333;NaN;NaN;NaN;NaN
2017;1;4;4;25;0.25;0.24;0.26;NaN;7.287;7.741;7.383;7.470333333;NaN;NaN;NaN;NaN
2017;1;4;5;25;0.21;0.19;0.24;NaN;6.575;7.284;6.892;6.917;NaN;NaN;NaN;NaN
2017;1;4;6;25;0.21;0.18;0.22;NaN;5.945;6.762;6.393;6.366666667;NaN;NaN;NaN;NaN
2017;1;4;7;25;0.18;0.2;0.21;NaN;5.411;6.287;5.953;5.883666667;NaN;NaN;NaN;NaN
2017;1;4;8;25;0.21;0.18;0.22;NaN;5.106;5.94;5.702;5.582666667;NaN;NaN;NaN;NaN
2017;1;4;9;25;0.23;0.2;0.28;0.15;5.542;5.977;6.045;5.854666667;NaN;NaN;NaN;NaN
2017;1;4;10;25;0.29;0.23;0.34;0.27;7.418;6.419;7.182;7.006333333;NaN;NaN;NaN;NaN
2017;1;4;11;25;0.35;0.29;0.51;0.35;9.985;7.528;8.565;8.692666667;NaN;NaN;NaN;NaN
2017;1;4;12;25;0.43;0.41;0.59;0.44;11.974;8.992;9.786;10.25066667;NaN;NaN;NaN;NaN
