"","Date","DOY","RainEvent","n","TotalHours","TotalPrecip","Intensity","Mean_SWC5cm","Mean_SWC30cm","Mean_SWC15cm","Mean_ST5cm","Mean_ST30cm","Mean_ST15cm","Mean_GPP","Mean_NEE","Mean_Reco"
"1",2017-01-01,"1",1,1,0.5,0.254,0.508,18,-9999,19,8.3,10.3,8.6,0.1333941478,0.0706686178,0.2040627656
"2",2017-01-01,"1",2,3,1.5,2.286,1.524,17.6666666666667,-9999,19,8.3,10.2,9,0,0.334796687333333,0.334796687333333
"3",2017-01-14,"14",1,2,1,7.874,7.874,27,-9999,16,9.8,10.55,11.45,0,0.3654925169,0.3654925169
"4",2017-01-14,"14",2,2,1,1.397,1.397,29.5,-9999,16,8.9,10.7,10.65,0,0.30959132655,0.30959132655
"5",2017-01-15,"15",1,2,1,0.508,0.508,26,-9999,19,8.25,10.7,9.85,0,0.29149961635,0.29149961635
"6",2017-01-15,"15",2,5,2.5,2.794,1.1176,26.4,-9999,21.4,7.7,10.48,9.24,0,0.25915136206,0.25915136206
"7",2017-01-15,"15",3,2,1,0.508,0.508,26.5,-9999,23,7.35,10.4,8.85,0,0.2941838274,0.2941838274
"8",2017-01-15,"15",4,3,1.5,1.016,0.677333333333333,26.6666666666667,-9999,23.6666666666667,7.33333333333333,10.2666666666667,8.66666666666667,0.0779834311433333,0.187374412966667,0.265357844066667
"9",2017-01-15,"15",5,3,1.5,1.143,0.762,25,-9999,24,7.9,9.9,8.83333333333333,0.02189322097,0.290151878333333,0.3120450993
"10",2017-01-20,"20",1,3,1.5,1.524,1.016,17,12.3333333333333,19,6.4,8.26666666666667,7.46666666666667,0,0.4400668506,0.4400668506
"11",2017-01-20,"20",2,1,0.5,0.254,0.508,17,12,19,5.9,8.3,7,0,0.4491408649,0.4491408649
"12",2017-01-21,"21",1,7,3.5,7.239,2.06828571428571,20.8571428571429,12.2857142857143,20.7142857142857,5.88571428571429,8.3,6.75714285714286,0,0.4620930028,0.4620930028
"13",2017-01-23,"23",1,1,0.5,0.254,0.508,19,16,21,7.3,8.3,8.1,0,0.4957994774,0.4957994774
"14",2017-01-24,"24",1,1,0.5,0.254,0.508,19,16,21,7.1,8.3,8,0,0.4862361429,0.4862361429
"15",2017-01-24,"24",2,2,1,0.508,0.508,18.5,15.5,21,5.85,8.4,7.1,0,0.3447262236,0.3447262236
"16",2017-02-13,"44",1,3,1.5,2.794,1.86266666666667,13.6666666666667,9.66666666666667,17,9.4,12.2,11.4,0,0.158423412833333,0.158423412833333
"17",2017-02-14,"45",1,1,0.5,0.635,1.27,14,10,17,9,11.1,9.8,0.0459368362,0.1988814852,0.2448183214
"18",2017-02-18,"49",1,1,0.5,0.254,0.508,14,9,16,10.3,11,11.6,0.0004114294874,0.2570756416,0.2574870711
"19",2017-02-19,"50",1,2,1,0.508,0.508,14,9,16,9.05,10.3,9.45,0.226123663,0.09615783774,0.32228150065
"20",2017-02-19,"50",2,1,0.5,0.254,0.508,14,8,16,10.2,10.2,10.3,0.1503262296,0.1516944737,0.3020207032
"21",2017-02-19,"50",3,1,0.5,0.254,0.508,14,9,16,10.2,10.3,10.6,0.09281181563,0.2089995475,0.3018113631
"22",2017-02-19,"50",4,1,0.5,0.254,0.508,14,9,16,9.7,10.3,10.6,0.05793570498,0.2491217151,0.3070574201
"23",2017-03-28,"87",1,3,1.5,2.286,1.524,10,10,12,14.5,18.1333333333333,17.1,0,0.3113166179,0.3113166179
"24",2017-05-09,"129",1,2,1,1.143,1.143,9,7,10,19.9,21.9,21.05,0,0.81341063725,0.81341063725
"25",2017-05-09,"129",2,1,0.5,0.508,1.016,9,7,10,18,21.9,20.2,0,0.1420505584,0.1420505584
"26",2017-06-07,"158",1,2,1,1.397,1.397,10,9.5,10,34.6,27.8,30.15,0,0.5962825427,0.5962825427
"27",2017-06-21,"172",1,2,1,6.35,6.35,10,9.5,10,39.75,30.9,34.6,0.2562854891,0.15765122985,0.41393671895
"28",2017-06-25,"176",1,2,1,25.654,25.654,35.5,9,10,34.25,30.25,34,0,1.677793079,1.677793079
"29",2017-06-26,"177",1,1,0.5,1.651,3.302,23,9,16,30,27.3,26.8,0.04221385884,1.716786569,1.759000428
"30",2017-07-03,"184",1,8,4,59.944,14.986,30,13.625,23.125,29.3,29.475,30.45,0.09209990165,0.8146840093125,0.90678391095
"31",2017-07-09,"190",1,2,1,8.509,8.509,18,18,16,31.35,28.55,28.85,1.6442590915,0.84231671795,2.4865758095
"32",2017-07-10,"191",1,5,2.5,2.159,0.8636,21.6,17.6,20,28.88,27.2,27.44,0,2.4594511194,2.4594511194
"33",2017-07-12,"193",1,4,2,14.732,7.366,25,17.25,20.25,26.675,26.7,25.675,1.2658446353,1.199542954125,2.4653875895
"34",2017-07-13,"194",1,1,0.5,0.254,0.508,24,21,24,31.6,25.1,25.1,6.255425518,-2.891821417,3.363604101
"35",2017-07-13,"194",2,3,1.5,38.1,25.4,32,22,37.6666666666667,27.8,26.2,26.2,0,2.14007507333333,2.14007507333333
"36",2017-07-13,"194",3,3,1.5,1.397,0.931333333333333,30,27,37.6666666666667,23.5666666666667,26.4666666666667,23.9,0,2.10158524633333,2.10158524633333
"37",2017-07-15,"196",1,1,0.5,0.635,1.27,22,23,24,27,26.8,26.8,0,2.421012793,2.421012793
"38",2017-07-16,"197",1,2,1,2.286,2.286,22,22,23,29.8,25.5,25.25,2.6183588885,-0.29032320465,2.328035684
"39",2017-07-17,"198",1,3,1.5,8.128,5.41866666666667,26,21,25,27.6,24.9333333333333,24.7,1.36465773916667,0.6525627735,2.01722051233333
"40",2017-07-21,"202",1,1,0.5,0.508,1.016,20,21,21,25,24.8,24.1,1.555318148,0.02736966697,1.582687815
"41",2017-07-22,"203",1,1,0.5,0.508,1.016,19,20,20,24.1,24.3,23.5,7.0337926,-5.19098493,1.842807671
"42",2017-07-22,"203",2,3,1.5,1.905,1.27,19,20,20,24.4,24.7,24.0666666666667,0,1.752647169,1.752647169
"43",2017-07-23,"204",1,1,0.5,1.524,3.048,19,20,20,21.5,24.1,22.7,0,1.533131608,1.533131608
"44",2017-07-23,"204",2,1,0.5,0.508,1.016,20,20,20,24.4,24.9,24.1,0,1.521449618,1.521449618
"45",2017-07-26,"207",1,3,1.5,11.684,7.78933333333333,25,19,19.3333333333333,30,25.4,26.1333333333333,1.18490560436667,0.613065429006667,1.79797103333333
"46",2017-07-27,"208",1,3,1.5,6.858,4.572,25.6666666666667,21,26,26.1333333333333,25.5666666666667,25.3666666666667,0,1.50097131766667,1.50097131766667
"47",2017-07-27,"208",2,3,1.5,1.524,1.016,27,21,29.3333333333333,23.6,25.5333333333333,24.0333333333333,0,1.47206609466667,1.47206609466667
"48",2017-07-28,"209",1,2,1,0.635,0.635,27,22,29,22.9,25.35,23.55,0,1.423773453,1.423773453
"49",2017-07-28,"209",2,6,3,28.829,9.60966666666667,32.5,25,38,25.9166666666667,25.3833333333333,24.9166666666667,0,1.3856484585,1.3856484585
"50",2017-07-29,"210",1,1,0.5,0.762,1.524,26,25,29,28.6,24.4,24.4,2.015979546,-0.4122498168,1.60372973
"51",2017-07-29,"210",2,5,2.5,2.921,1.1684,26.8,25,29.2,25.28,24.88,24.06,0,1.5479010544,1.5479010544
"52",2017-07-30,"211",1,3,1.5,2.286,1.524,26.6666666666667,25,29,22,24.3333333333333,22.7666666666667,0,1.475989037,1.475989037
"53",2017-08-01,"213",1,6,3,11.684,3.89466666666667,27.8333333333333,23.5,32.3333333333333,23.45,25.2833333333333,24.25,0,1.50421227433333,1.50421227433333
"54",2017-08-02,"214",1,3,1.5,23.368,15.5786666666667,30.3333333333333,24.3333333333333,35.3333333333333,26.8666666666667,24.5,24.6333333333333,1.08913133976667,0.575215477,1.664346817
"55",2017-08-10,"222",1,5,2.5,8.763,3.5052,18,19.8,17,29.1,26.1,27.24,0.2537702046,1.8428084336,2.0965786382
"56",2017-08-10,"222",2,3,1.5,1.016,0.677333333333333,22.6666666666667,19.6666666666667,17,25.6,26.5,25.8666666666667,0,1.95668948133333,1.95668948133333
"57",2017-08-12,"224",1,6,3,25.654,8.55133333333333,36.3333333333333,21.6666666666667,36.3333333333333,24.1333333333333,26.1833333333333,25.0333333333333,0,1.85823579933333,1.85823579933333
"58",2017-08-20,"232",1,1,0.5,0.254,0.508,16,19,18,22.2,24.6,23.7,2.068107641,0.2326614847,2.300769126
"59",2017-08-23,"235",1,2,1,1.524,1.524,16,18,16,25.15,25.3,25.5,0,2.9656229765,2.9656229765
"60",2017-08-23,"235",2,4,2,1.27,0.635,15.75,18,16,24.05,25.275,25.05,0,2.82603531775,2.82603531775
"61",2017-08-25,"237",1,2,1,4.191,4.191,16,17,16,28.5,24.25,25.25,3.2649312105,0.338616872035,3.6035480825
"62",2017-09-08,"251",1,1,0.5,0.381,0.762,13,13,13,26.2,26.1,26.6,0,1.183221921,1.183221921
"63",2017-10-05,"278",1,1,0.5,0.762,1.524,11,10,12,30.5,23.8,26.4,0.8738421904,-0.5249500539,0.3488921365
"64",2017-10-12,"285",1,1,0.5,0.254,0.508,11,10,11,29.2,22.7,24.6,0.5354555051,-0.001700417061,0.533755088
"65",2017-10-30,"303",1,1,0.5,1.016,2.032,10,9,10,19.1,20.4,19.9,0,0.2334722241,0.2334722241
"66",2017-11-07,"311",1,2,1,1.143,1.143,10,9,9,18.3,19.1,18.65,0,0.30881635085,0.30881635085
"67",2017-11-08,"312",1,2,1,1.651,1.651,10,9,9,17.8,19.1,18.45,0,0.29743242925,0.29743242925
"68",2017-12-17,"351",1,3,1.5,4.572,3.048,9,7,8,9.1,12.1666666666667,10.4,0,0.240059967233333,0.240059967233333
"69",2017-12-17,"351",2,2,1,1.016,1.016,9,7,7.5,8,12,9.65,0,0.7692494471,0.7692494471
"70",2017-12-18,"352",1,4,2,1.397,0.6985,9,7,7,6.975,11.525,8.675,0,0.273138205025,0.273138205025
