"","X","DOY","meanAT2","meanAT6","sum_R","rain_events","meanRH2","meanRH6","meanSWC5","meanSWC15","meanSWC30","meanST5","meanST15","meanST30","meanNEE","meanGPP","meanRECO","sdReco","Season","high_day","Rain_DOY","Pulse_Days","Pulse_DOY","YEAR","date","rain_event","pulsetime","days_since_rain_event","pulseduration","pulseduration_S","pulseduration_M","pulseduration_L","max_pulse_duration"
"1",14,14,10.9273958333333,11.5215416666667,9.271,4,54.4647450022917,"53.5573074004167",16.9166666666667,"16.0208333333333","NA",9.475,10.4645833333333,10.2354166666667,0.355086571816104,0.158186574368125,0.513273146189583,0.516780647486254,"Winter",1,14,1,14,2017,2017-01-14,1,0,0,4,8,0,0,8
"2",15,15,3.33216666666667,3.79227083333333,5.969,15,96.2525700560417,"94.5646848054167",25.4166666666667,"22.6666666666667","17",7.51666666666667,8.89166666666667,10.1666666666667,0.261894796245833,0.0248615527708333,0.286756349016667,0.019083161998482,"Winter",1,15,1,15,2017,2017-01-15,1,0,0,4,8,0,0,8
"3",16,16,4.79954166666667,5.50954166666667,0,0,80.317735019375,"78.932327396875",21.6041666666667,"22.8333333333333","15.9375",6.90625,7.9875,9.25208333333333,0.214236452536208,0.201491271194021,0.415727723745833,0.250508052992877,"Winter",0,0,0,16,2017,2017-01-16,0,1,1,0,8,0,0,8
"4",17,17,6.427875,6.98475,0,0,67.8696834958333,"67.574802885",19.7083333333333,"21.5625","15.0208333333333",6.87916666666667,7.91666666666667,9.03333333333333,0.284234555317292,0.175544171603958,0.459778726914583,0.125780005278387,"Winter",0,0,0,17,2017,2017-01-17,0,2,2,0,8,0,0,8
"5",18,18,6.5945,7.66085416666667,0,0,65.3873550170833,"63.3119792747917",18.5833333333333,"20.6041666666667","14",6.58125,7.72708333333333,9.03125,0.250418782071458,0.249676168643958,0.50009495070625,0.0793956870364113,"Winter",0,0,0,18,2017,2017-01-18,0,3,3,0,8,0,0,8
"6",19,19,5.50925,6.36235416666667,0,0,60.1011152589583,"58.7081771627083",17.7916666666667,"19.9791666666667","13.2291666666667",5.89375,6.84791666666667,8.61875,0.219680455776875,0.276866001295417,0.496546457075,0.10492180168361,"Winter",0,0,0,19,2017,2017-01-19,0,4,4,0,8,0,0,8
"7",20,20,4.77229166666667,5.33866666666667,1.778,4,71.34974252,"71.7458070110417",17.0625,"19.0208333333333","12.5625",5.75625,6.78333333333333,8.32708333333333,0.432369492315771,0.142977480255,0.575346972566667,0.430262748264841,"Winter",0,0,0,0,2017,2017-01-20,0,5,5,0,8,0,0,8
"8",21,21,3.63020833333333,4.16022916666667,7.239,7,69.813891015,"70.06026380125",22.7708333333333,"23.875","14.3333333333333",5.64375,6.475,8.15833333333333,0.215717190537083,0.255717889971875,0.47143508051875,0.11511797898795,"Winter",1,21,1,21,2017,2017-01-21,1,0,0,4,8,0,0,8
"9",22,22,5.2043125,6.28441666666667,0,0,55.0996674247917,"52.9768284225",20.2708333333333,"22.5208333333333","15.9166666666667",4.98333333333333,5.85416666666667,7.60208333333333,0.213046888267396,0.336314737670833,0.549361625927083,0.152168603548558,"Winter",0,0,0,22,2017,2017-01-22,0,1,1,0,8,0,0,8
"10",23,23,9.86810416666667,10.5373333333333,0.254,1,43.2161161254167,"42.2011009052083",19.2083333333333,"21.5625","15.4583333333333",6.33958333333333,7.01458333333333,7.77083333333333,0.618125094855417,0.19658877316875,0.814713868020833,0.265325451544514,"Winter",0,0,0,23,2017,2017-01-23,0,2,2,0,8,0,0,8
"11",24,24,2.45077083333333,2.88354166666667,0.762,3,68.1670793410417,"68.3631721170833",18.6458333333333,"20.9583333333333","14.9375",6.19375,7.29791666666667,8.3,0.190007886487292,0.204633192874729,0.394641079354167,0.101942094432961,"Winter",0,0,0,24,2017,2017-01-24,0,3,3,0,8,0,0,8
"12",25,25,0.128604166666667,1.02310416666667,0,0,62.1063618579167,"61.6154405195833",17.5625,"20","14.2291666666667",4.2,5.66458333333333,7.725,0.088852864135,0.124769002915625,0.213621867052083,0.105115021248094,"Winter",0,0,0,25,2017,2017-01-25,0,4,4,0,8,0,0,8
"13",26,26,2.00270833333333,3.0254375,0,0,46.511160888125,"45.2530867814583",16.9375,"19.375","13.5833333333333",3.50416666666667,5.09166666666667,7.0125,-0.0121066822657917,0.114122350466667,0.10201566821275,0.109983506713744,"Winter",0,0,0,0,2017,2017-01-26,0,5,5,0,8,0,0,8
"14",27,27,1.16833333333333,1.92735416666667,0,0,49.744020306875,"49.6422639870833",16.3125,"19","13.2291666666667",3.04583333333333,4.80416666666667,6.55416666666667,0.0919938692715323,0.0427850102377083,0.134778879513057,0.382069498183594,"Winter",0,0,0,0,2017,2017-01-27,0,6,6,0,8,0,0,8
"15",28,28,4.05829166666667,4.75127083333333,0,0,23.8353862810417,"23.449027568125",16.1666666666667,"18.7708333333333","12.6875",3.41875,4.8875,6.24375,0.02567667812395,0.0514991163284792,0.0771757944546937,0.123033009010163,"Winter",0,0,0,0,2017,2017-01-28,0,7,7,0,8,0,0,8
"16",172,172,30.1022916666667,30.95625,6.35,2,22.0156161508333,"19.3329769095833",9.39583333333333,"9.33333333333333","9.79166666666667",33.0895833333333,32.69375,31.39375,0.390277567969167,0.432773140456667,0.82305070841875,0.848147385360175,"Spring",1,172,1,172,2017,2017-06-21,1,0,0,4,8,0,0,8
"17",173,173,29.1889583333333,29.658125,0,0,28.1714879152083,"25.9016279733333",9.97916666666667,"9.04166666666667","9.125",31.7020833333333,29.6229166666667,29.6395833333333,1.02197168486917,0.0701391414729167,1.09211082633542,0.633204972638254,"Spring",0,0,0,173,2017,2017-06-22,0,1,1,0,8,0,0,8
"18",174,174,29.2264583333333,29.66875,0,0,27.2329649595833,"25.65930436",10.75,"9.33333333333333","9.10416666666667",33.1333333333333,30.9833333333333,29.8479166666667,0.670389885905979,0.3627410765925,1.03313096245417,0.282899028237142,"Spring",0,0,0,174,2017,2017-06-23,0,2,2,0,8,0,0,8
"19",175,175,30.6154166666667,31.0754166666667,0,0,19.9168613590208,"18.5921845915625",10.7291666666667,"9.41666666666667","9.22916666666667",34.1708333333333,32.1625,30.21875,0.841159299408333,0.618899063301042,1.460058362625,0.307666099614889,"Spring",0,0,0,175,2017,2017-06-24,0,3,3,0,8,0,0,8
"20",176,176,26.5022916666667,27.0235416666667,25.654,2,36.5915993472917,"34.429162389375",16.2708333333333,"9.54166666666667","9.3125",31.1104166666667,31.0270833333333,30.5541666666667,1.07698990546458,0.632367271842083,1.7093571773125,0.836103305928092,"Spring",1,176,1,176,2017,2017-06-25,1,0,0,20,8,0,20,20
"21",177,177,25.710625,26.3970833333333,1.651,1,39.2225425827083,"36.6968901170833",23.125,"15","9",26.025,26.08125,28.2083333333333,2.20722611385833,0.145342542008187,2.35256865585417,1.00710190393923,"Spring",0,0,0,177,2017,2017-06-26,0,1,1,0,8,0,20,20
"22",178,178,27.5004166666667,28.161875,0,0,25.2079798533333,"22.8240022979167",21.1666666666667,"16.2708333333333","9.04166666666667",27.88125,26.7895833333333,27.425,1.4361089690625,0.271991581058333,1.70810055016667,0.411111714800384,"Spring",0,0,0,178,2017,2017-06-27,0,2,2,0,8,0,20,20
"23",179,179,26.73125,27.2120833333333,0,0,29.0564934958333,"27.4461539770833",19.6458333333333,"15.5416666666667","9.33333333333333",28.8958333333333,28.2395833333333,28.075,1.10436245535522,0.297490533607292,1.401852989,0.274591584837839,"Spring",0,0,0,179,2017,2017-06-28,0,3,3,0,8,0,20,20
"24",180,180,26.5141666666667,27.1372916666667,0,0,25.3132466523542,"23.6758401925833",18.6875,"14.75","10",30.05625,29.6208333333333,28.7125,0.708218095604792,0.4507872375125,1.1590053331625,0.252138560161753,"Spring",0,0,0,180,2017,2017-06-29,0,4,4,0,0,0,20,20
"25",181,181,27.250625,28.2775,0,0,9.65002634485417,"8.90616807352083",17.5833333333333,"13.875","10.25",30.0875,30.1541666666667,29.0333333333333,0.325340286929167,0.57386437095,0.899204657847917,0.118064749570342,"Spring",0,0,0,0,2017,2017-06-30,0,5,5,0,0,0,20,20
"26",182,182,29.0854166666667,29.9391666666667,0,0,7.81937327275,"7.7574423583125",16.6458333333333,"13.25","10.7291666666667",30.6020833333333,30.80625,29.2395833333333,0.437762830933188,0.4375014599,0.87526429081875,0.268419069836849,"Summer",0,0,0,0,2017,2017-07-01,0,6,6,0,0,0,20,20
